編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLQKKIPFFAZ87DA,介壽段,181.38,非都市： ; 非都市編定：,1,1,全筆移轉,01750010
RPRNMLQKKIPFFAZ87DA,介壽段,112.00,非都市： ; 非都市編定：,1,1,全筆移轉,01770019
RPRNMLQKKIPFFAZ87DA,介壽段,235.96,非都市： ; 非都市編定：,1,1,全筆移轉,01770020
RPPNMLSKKIPFFAZ87DA,東引西段,.32,非都市： ; 非都市編定：,5,1,持分移轉,00480000
RPPNMLNKJHGGFAZ98DA,四維段,117.82,非都市： ; 非都市編定：,1,1,全筆移轉,01740000
RPPNMLNKJHGGFAZ98DA,四維段,163.42,非都市： ; 非都市編定：,1,1,全筆移轉,01760001
RPPNMLOLKIPFFAZ57DA,青帆段,1271.07,非都市： ; 非都市編定：,1,1,全筆移轉,08020000
RPPNMLRLJHGGFAZ86DA,福沃段,71.21,非都市： ; 非都市編定：,1,1,全筆移轉,02200000
RPQNMLRLJHGGFAZ96DA,清水段,86.37,非都市： ; 非都市編定：,1,1,全筆移轉,11850001
RPRNMLRLJHGGFAZ07DA,福沃段,89.75,非都市： ; 非都市編定：,1,1,全筆移轉,04060000
SPRNMLRLJHGGFAZ17DA,福正段,85.10,非都市： ; 非都市編定：,1,1,全筆移轉,04370000
RPPNMLNLKHGGFAZ56DA,?里段,123.02,非都市： ; 非都市編定：,1,1,全筆移轉,06980000
