編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKKIPFFHN07CC,光華段,208.00,都市：住,,,,04790001
RPPNMLOKKIPFFHN07CC,光華段,120.00,都市：其他:住宅區,,,,04790002
RPWNMLLKKIPFFAN76CC,三民段,17.89,都市：住,,,,04210000
RPTPMLRKKIPFFAN27CC,牛稠子段牛稠子小段,73.00,都市：住,,,,01910057
RPUPMLRKKIPFFAN37CC,大埔段,22.18,都市：住,,,,04770016
RPPNMLMKJHGGFBN87CC,富貴段,5686.89,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01710000
RPQNMLMKKIPFFHN96CC,平和段,73.00,都市：住,,,,06000002
RPRNMLQKKIPFFDN07CC,員林段,113.00,都市：商,,,,05360010
RPRPMLRKKIPFFAN07CC,牛稠子段中庄子小段,.00,都市：住,,,,01410001
RPROMLSKKIPFFAN17DC,燕霧段,226.00,都市：其他:特定農業區,,,,08840000
RPWNMLOJJHGGFAN58CC,三民段,.00,都市：商,,,,10840000
RPRNMLSKJHGGFHN66CC,西溪段,2662.00,都市：工,,,,07260000
RPRNMLSKJHGGFHN66CC,西溪段,97.00,都市：工,,,,07260001
RPWNMLLLJHGGFAN48CC,南郭段南郭小段,.00,都市：住,,,,05290000
RPSNMLMLJHGGFCN38CC,埔崙段,24.83,都市：住,,,,03280000
RPSNMLPKJHGGFCN58CC,福新段,73.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05000005
RPSNMLSKJHGGFHN76CC,光明段,44.00,都市：工,,,,10890000
RPSNMLSKJHGGFHN76CC,光明段,476.00,都市：其他:道路,,,,10890001
RPSNMLSKJHGGFHN76CC,光明段,14.00,都市：住,,,,10890002
RPSNMLSKJHGGFHN76CC,光明段,14.00,都市：住,,,,10890003
RPOOMLLLJHGGFAN77CC,新莿桐段,.00,都市：住,,,,00860000
RPVNMLSKJHGGFHN07CC,瓦窯中段,35.01,都市：住,,,,12810000
RPPTMLNKJHGGFAN48CC,延平段,75.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,11720264
RPTNMLTLJHGGFFN86CC,彰興段,117.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02180000
RPRNMLMJKHGGFDN28CC,永泰段,545.45,都市：其他:（空白）,,,,03010000
RPSNMLLJKHGGFHN68CC,永興段,4450.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,09290000
RPRNMLOJKHGGFBN28CC,仁和段,26.00,都市：住,,,,07980014
RPROMLMLKHGGFAN28CC,馬鳴段,1214.00,都市：農,,,,03550006
RPSNMLOJKHGGFDN58CC,饒明段,2304.88,非都市：特定農業區 ; 非都市編定：農牧用地,,,,06950000
RPQNMLSJKHGGFDN78CC,僑信段,83.87,都市：住,,,,08460000
RPROMLQLKHGGFAN68CC,西門口段,.00,都市：住,,,,05170000
RPWNMLLJKHGGFGN98CC,北挖仔段,73.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10820000
RPQNMLRLKHGGFHN66CC,西溪段,735.00,都市：工,,,,06030000
RPSNMLSJLHGGFGN76CC,儒雅段,89.34,都市：住,,,,12880014
RPWNMLOJLHGGFCN98CC,鹿工段,19619.99,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00560006
RPRNMLSJLHGGFGN66CC,儒雅段,89.34,都市：住,,,,12880014
RPUNMLKKLHGGFCN48CC,三豐段,2700.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00100000
