編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPQMLRKQHGGFAH58CB,坡道平面,1970000,38.80,地下二樓
RPPQMLRKQHGGFAH58CB,坡道平面,1980000,38.80,地下二樓
RPTPMLSKQHGGFBH09CB,坡道平面,2100000,23.10,地下一樓
RPTPMLSKQHGGFBH09CB,坡道平面,1700000,23.10,地下一樓
RPWPMLSKQHGGFBH76CB,坡道平面,1900000,23.10,地下三樓
RPUPMLSKQHGGFBH56CB,坡道平面,1750000,21.25,地下三樓
RPPNMLQKQHGGFEH58CB,一樓平面,0,,一樓
RPSRMLSKQHGGFBH56CB,坡道平面,1600000,31.08,地下四樓
RPTRMLSKQHGGFBH66CB,坡道平面,1400000,31.08,地下五樓含以下
RPVRMLSKQHGGFBH86CB,坡道平面,1400000,31.08,地下五樓含以下
RPPOMLSKQHGGFAH48CB,坡道平面,1800000,43.92,地下二樓
RPPOMLSKQHGGFAH48CB,坡道平面,1850000,43.92,地下二樓
RPQOMLSKQHGGFAH58CB,坡道平面,1500000,43.92,地下三樓
RPROMLSKQHGGFAH68CB,坡道平面,1550000,43.92,地下四樓
RPUOMLSKQHGGFAH98CB,坡道平面,1800000,43.38,地下二樓
RPVOMLSKQHGGFAH09CB,坡道平面,1750000,43.38,地下二樓
RPWOMLSKQHGGFAH56CB,坡道平面,1800000,43.38,地下二樓
RPRNMLQKQHGGFEH78CB,一樓平面,0,,一樓
RPVOMLTKQHGGFBH66CB,坡道平面,1800000,28.89,地下一樓
RPRNMLSKQHGGFAH58CB,坡道平面,1900000,36.44,地下二樓
RPTNMLSKQHGGFAH78CB,坡道平面,1900000,36.44,地下二樓
RPQOMLKLQHGGFBH97CB,坡道平面,1050000,33.53,地下二樓
RPRNMLMLQHGGFEH58DB,坡道平面,1520000,29.01,地下三樓
RPTNMLMLQHGGFEH78DB,坡道平面,1520000,29.01,地下三樓
RPRNNLNLQHGGFDH58CB,坡道平面,1500000,37.16,地下一樓
RPTNMLNLQHGGFHH09CB,坡道平面,1900000,31.40,地下二樓
RPSNMLNLQHGGFHH98CB,坡道平面,1800000,31.40,地下三樓
RPSNMLNLQHGGFAH28CB,坡道平面,1900000,25.81,地下二樓
RPOOMLNLQHGGFBH08CB,坡道平面,1550000,35.54,地下三樓
RPOOMLNLQHGGFBH08CB,坡道平面,1650000,37.76,地下三樓
RPWNMLNLQHGGFAH68CB,坡道平面,2000000,25.81,地下一樓
RPWNMLNLQHGGFAH68CB,坡道平面,1600000,25.81,地下一樓
RPQOMLNLQHGGFAH18CB,坡道平面,1900000,46.33,地下一樓
RPUPMLNLQHGGFAH68CB,坡道平面,2000000,31.36,地下三樓
RPOPMLNLQHGGFAH08CB,坡道平面,1750000,31.36,地下四樓
RPOQMLNLQHGGFAH18CB,坡道平面,2000000,25.81,地下一樓
RPQPMLNLQHGGFAH28CB,坡道平面,1900000,42.56,地下二樓
RPTPMLNLQHGGFAH58CB,坡道平面,1700000,42.56,地下二樓
RPUOMLNLQHGGFEH98CB,坡道平面,1800000,31.00,地下一樓
RPVPMLNLQHGGFAH78CB,坡道平面,1800000,31.36,地下三樓
RPRQMLNLQHGGFAH48CB,坡道平面,1900000,25.81,地下二樓
RPWPMLNLQHGGFAH88CB,坡道平面,1900000,46.33,地下一樓
RPXPMLNLQHGGFAH98CB,坡道平面,1950000,31.36,地下三樓
RPPQMLNLQHGGFAH28CB,坡道平面,1950000,25.81,地下一樓
RPTOMLNLQHGGFEH88CB,坡道平面,1800000,31.00,地下一樓
RPPNMLNLQHGGFBH18DB,一樓平面,1100000,13.75,一樓
RPQNMLOLQHGGFFH68CB,坡道平面,1550000,31.48,地下二樓
RPPNMLOLQHGGFFH58CB,坡道平面,1550000,30.43,地下一樓
RPSNMLOLQHGGFFH88CB,坡道平面,1550000,31.48,地下二樓
RPTNMLOLQHGGFFH98CB,坡道平面,1550000,31.48,地下二樓
RPQVMLRKQHGGFBH66CB,坡道平面,1650000,35.21,地下一樓
RPURMLSKQHGGFBH76CB,坡道平面,1650000,31.08,地下四樓
RPURMLSKQHGGFBH76CB,坡道平面,1500000,31.08,地下四樓
RPWNMLOLQHGGFFH66CB,坡道平面,1550000,31.48,地下二樓
RPRNMLOLQHGGFFH78CB,坡道平面,1450000,30.43,地下二樓
RPOOMLOLQHGGFFH58CB,坡道平面,1550000,31.48,地下二樓
RPUNMLOLQHGGFFH09CB,坡道平面,1600000,31.48,地下二樓
RPVNMLOLQHGGFFH56CB,坡道平面,1550000,31.48,地下二樓
RPXNMLOLQHGGFFH76CB,坡道平面,1700000,31.48,地下一樓
RPPOMLOLQHGGFFH68CB,坡道平面,1450000,30.43,地下二樓
RPQOMLOLQHGGFFH78CB,坡道平面,1600000,31.48,地下二樓
RPTOMLOLQHGGFFH09CB,坡道平面,1550000,31.48,地下二樓
RPUOMLOLQHGGFFH56CB,坡道平面,1600000,31.48,地下二樓
RPQUMLPLQHGGFBH09CB,坡道平面,1400000,35.90,地下二樓
RPRNMLPLQHGGFEH78CB,坡道平面,1450000,36.86,地下二樓
RPWOMLTKQHGGFBH76CB,坡道平面,1750000,31.54,地下二樓
RPOPMLPLQHGGFBH38CB,坡道平面,1550000,35.21,地下二樓
RPSQMLPLQHGGFBH88CB,坡道平面,1500000,35.21,地下三樓
RPTPMLPLQHGGFBH88CB,坡道平面,1600000,35.21,地下二樓
RPQQMLPLQHGGFBH68CB,坡道平面,1580000,35.21,地下二樓
RPTSMLPLQHGGFBH56CB,坡道平面,1600000,44.71,地下三樓
RPOVMLPLQHGGFBH98CB,坡道平面,1700000,30.24,地下二樓
RPWWMLPLQHGGFAH17CB,坡道平面,1750000,31.36,地下四樓
RPVNNLPLQHGGFAH88CB,坡道平面,1700000,31.36,地下四樓
RPOUMLPLQHGGFAH78CB,坡道平面,1900000,25.76,地下一樓
RPOUMLPLQHGGFAH78CB,坡道平面,1900000,25.76,地下一樓
RPTOMLQLQHGGFAH78CB,坡道平面,1800000,36.44,地下三樓
RPPTMLQLQHGGFBH98CB,坡道平面,1950000,23.10,地下三樓
RPROMLQLQHGGFAH58CB,坡道平面,1900000,36.44,地下二樓
RPSOMLQLQHGGFAH68CB,坡道平面,1800000,36.44,地下三樓
RPQTMLQLQHGGFBH09CB,坡道平面,2050000,23.10,地下二樓
RPRTMLQLQHGGFBH56CB,坡道平面,1850000,23.10,地下四樓
RPTTMLQLQHGGFBH76CB,坡道平面,1800000,23.10,地下三樓
RPSTMLQLQHGGFBH66CB,坡道平面,1700000,23.10,地下四樓
RPOVMLQLQHGGFBH09CB,坡道平面,1500000,31.08,地下五樓含以下
RPPVMLQLQHGGFBH56CB,坡道平面,1500000,31.08,地下五樓含以下
RPXOMLQLQHGGFHH27CB,坡道平面,1450000,36.06,地下五樓含以下
