編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOQMLQJRHHGFAH58EA,升降平面,0,,二樓含以上
RPQTMLTJQHHGFCH76DA,坡道平面,800000,30.86,地下二樓
RPSPMLOJQHHGFBH58DA,坡道平面,0,,地下一樓
RPQQMLKKQHHGFAH18EA,坡道平面,0,29.79,地下一樓
RPSPMLNJQHHGFDH68DA,坡道平面,0,,地下一樓
RPQNMLPKQHHGFDH68EA,坡道平面,0,,地下一樓
RPTRMLMKQHHGFCH88DA,坡道平面,0,,地下一樓
RPSPMLPKQHHGFAH78EA,升降平面,630000,28.63,二樓含以上
RPPOMLPKQHHGFAH28DA,坡道平面,0,41.53,地下三樓
RPTNMLSJQHHGFAH78DA,坡道平面,1820000,28.59,地下三樓
RPPNMLOKQHHGFBH18DA,坡道平面,500000,26.42,地下一樓
RPROMLQKQHHGFEH98DA,坡道平面,0,30.71,地下一樓
RPURMLMKQHHGFBH88DA,坡道平面,0,,地下三樓
RPSNMLRKQHHGFAH78EA,坡道平面,1500000,,地下二樓
RPUNMLKKQHHGFHH88DA,坡道平面,0,26.11,地下二樓
RPOQMLRKQHHGFBH78EA,坡道平面,0,,地下一樓
RPWSMLRKQHHGFBH07DA,坡道平面,1900000,28.28,地下三樓
RPTOMLSKQHHGFCH66EA,坡道平面,0,,地下一樓
RPOPMLRKQHHGFBH58DA,坡道平面,0,38.96,地下一樓
RPSRMLPJQHHGFBH88DA,坡道平面,1900000,34.10,地下三樓
RPSNMLQJQHHGFBH58DA,坡道平面,0,,地下一樓
RPUNMLRKQHHGFAH88DA,坡道平面,0,23.39,地下一樓
RPUNMLRKQHHGFAH88DA,坡道平面,0,23.39,地下一樓
RPXOMLSKQHHGFDH07DA,坡道平面,0,36.38,地下三樓
RPOPMLTKQHHGFDH98DA,坡道平面,0,,地下一樓
RPOPMLTKQHHGFDH98DA,坡道平面,0,,地下一樓
RPVUMLSKQHHGFBH27DA,坡道平面,0,,地下一樓
RPROMLSKQHHGFHH86DA,坡道平面,0,,地下二樓
RPQNMLOJQHHGFGH68DA,坡道平面,0,26.83,地下三樓
RPORMLRKQHHGFCH88DA,坡道平面,0,32.55,地下一樓
RPROMLRKQHHGFBH78DA,坡道平面,0,42.11,地下三樓
RPRPMLTKQHHGFDH66DA,坡道平面,0,37.21,地下一樓
RPROMLTKQHHGFAH88DA,升降機械,0,,地下一樓
RPRRMLPJQHHGFBH78DA,坡道平面,0,37.08,地下一樓
RPSNMLNLQHHGFFH88DA,坡道平面,0,32.23,地下一樓
RPSNMLTJQHHGFGH76DA,坡道平面,0,,地下二樓
RPWOMLQKQHHGFFH96DA,坡道平面,0,25.89,地下二樓
RPQNMLSJQHHGFFH98DA,坡道平面,0,,地下一樓
RPPNMLRJQHHGFFH78DA,坡道平面,1200000,29.48,地下二樓
RPQOMLNJQHHGFHH78DA,坡道平面,0,32.20,地下三樓
RPWOMLNLQHHGFBH98DA,坡道平面,0,,地下二樓
RPXNMLQKQHHGFHH17DA,坡道平面,0,,地下三樓
RPXNMLQKQHHGFHH17DA,坡道平面,0,,地下三樓
RPTSMLOLQHHGFBH56DA,坡道平面,0,,地下一樓
RPTSMLOLQHHGFBH56DA,坡道平面,0,,地下一樓
RPXNMLPKQHHGFDH66DA,坡道平面,0,36.38,地下三樓
RPOSMLRKQHHGFBH88DA,坡道平面,0,,地下二樓
RPSQMLSKQHHGFBH56DA,坡道平面,0,31.08,地下一樓
RPQOMLOLQHHGFFH88DA,坡道平面,0,,地下一樓
RPTNMLPLQHHGFHH86EA,坡道平面,2100000,33.21,地下二樓
RPUOMLPLQHHGFGH86DA,坡道平面,0,,地下二樓
RPXQMLQLQHHGFAH96EA,坡道平面,0,,地下三樓
RPXRMLMLQHHGFBH66DA,坡道平面,0,36.76,地下四樓
RPOQMLTKQHHGFBH88DA,坡道平面,0,,地下二樓
RPPNMLQLQHHGFBH48DA,一樓平面,0,,一樓
RPPNMLQLQHHGFBH48DA,一樓平面,0,,一樓
RPVQMLQKQHHGFBH66DA,坡道平面,0,13.35,地下三樓
RPOOMLNLQHHGFEH48DA,坡道平面,1380000,23.94,地下一樓
RPTNMLQLQHHGFDH09DA,坡道平面,0,34.25,地下一樓
RPTQMLKKQHHGFAH38DA,坡道平面,0,,地下二樓
RPWNMLLJQHHGFAH38DA,坡道平面,1500000,35.45,地下一樓
RPSQMLQKQHHGFDH56DA,一樓平面,0,,一樓
RPQOMLPKQHHGFBH48DA,坡道平面,0,,地下三樓
RPTNMLQLQHHGFBH98EA,坡道機械,850000,17.41,地下一樓
RPTNMLQLQHHGFAH88EA,坡道平面,0,,地下一樓
RPQOMLTLQHHGFGH86DA,坡道平面,0,,地下三樓
RPPNMLTLQHHGFFH56DA,坡道平面,0,,地下一樓
RPVNMLPKQHHGFFH66DA,坡道平面,0,,地下二樓
RPUOMLKMQHHGFBH68EA,升降機械,0,,地下一樓
RPUPMLQKQHHGFHH07DA,坡道平面,0,23.76,地下四樓
RPPPMLKMQHHGFBH18DA,坡道平面,1900000,28.28,地下三樓
RPRQMLTLQHHGFBH66DA,坡道平面,2500000,26.62,地下二樓
RPTNMLPLQHHGFEH09DA,坡道平面,0,40.01,地下二樓
RPVNMLTLQHHGFDH96DA,坡道平面,0,,地下一樓
RPQOMLQLQHHGFDH88DA,坡道平面,1200000,32.60,地下三樓
RPVOMLOLQHHGFAH88DA,坡道平面,1300000,40.52,地下一樓
RPPPMLLMQHHGFAH18DA,坡道平面,1800000,30.10,地下三樓
RPROMLOLQHHGFAH48DA,坡道平面,1300000,40.52,地下一樓
RPPRMLPKQHHGFAH58DA,坡道平面,2400000,26.55,地下一樓
RPSOMLOLQHHGFAH58DA,坡道平面,1250000,40.52,地下一樓
RPTPMLPKQHHGFAH78DA,坡道平面,2400000,26.55,地下一樓
RPROMLTLQHHGFBH09DA,坡道平面,1000000,29.94,地下二樓
RPTRMLTLQHHGFBH96DA,坡道平面,1450000,36.66,地下三樓
RPRRMLKMQHHGFBH58DA,坡道平面,0,,地下三樓
RPSPMLTKQHHGFBH56DA,坡道平面,0,,地下三樓
RPUNMLLMQHHGFBH58DA,坡道平面,0,,地下三樓
RPSOMLLMQHHGFCH68EA,坡道平面,0,32.55,地下一樓
RPSOMLLMQHHGFCH68EA,坡道平面,0,32.55,地下一樓
RPSQMLLMQHHGFAH68EA,坡道平面,0,26.57,地下一樓
RPWTMLLMQHHGFBH86EA,其他,0,,無固定樓層
RPVOMLKMQHHGFHH66DA,坡道平面,0,,地下三樓
RPVOMLKMQHHGFFH09DA,坡道平面,0,,地下三樓
RPWOMLKMQHHGFFH56DA,坡道平面,0,33.14,地下二樓
RPUNMLLMQHHGFFH98DA,坡道平面,0,27.62,地下一樓
RPPPMLKMQHHGFHH78DA,坡道平面,1650000,21.54,地下二樓
RPPNMLLJRHHGFAH87EA,升降機械,0,,地下二樓
RPRNMLPJRHHGFAH48EA,坡道平面,0,,地下二樓
RPUQMLTJQHHGFCH86DA,坡道平面,0,,地下二樓
RPQNMLNJQHHGFCH18DA,坡道平面,0,,地下二樓
RPRSMLLMQHHGFBH78DA,坡道平面,0,40.81,地下五樓含以下
RPSPMLTJQHHGFAH98DA,坡道平面,0,,地下一樓
RPRNMLLJRHHGFAH97DA,坡道平面,0,,地下二樓
RPVQMLKMQHHGFAH78DA,坡道平面,0,,地下二樓
RPORMLLJRHHGFAH08DA,坡道平面,0,,地下一樓
RPPRMLLJRHHGFAH18DA,坡道平面,0,41.97,地下四樓
RPQNMLLMQHHGFEH48DA,坡道平面,1350000,26.69,地下一樓
RPPQMLTLQHHGFAH98DA,坡道平面,0,,地下三樓
RPWNMLKMQHHGFDH88DA,坡道平面,0,31.74,地下三樓
RPPQMLQKQHHGFDH88DA,一樓平面,0,,一樓
RPUSMLLKQHHGFBH88DA,坡道平面,0,,地下一樓
RPRNMLLJRHHGFBH08DA,坡道平面,0,32.59,地下三樓
RPRNMLLJRHHGFBH08DA,坡道平面,0,32.59,地下三樓
RPUOMLKKQHHGFCH48DA,坡道平面,0,,地下一樓
RPOOMLLJRHHGFEH28EA,坡道平面,0,,地下二樓
RPSPMLKMQHHGFHH09DA,坡道平面,1700000,21.54,地下二樓
RPWPMLKMQHHGFHH86DA,坡道平面,0,24.76,地下二樓
RPWRMLTKQHHGFBH17DA,坡道平面,0,37.38,地下三樓
RPPNMLPKQHHGFHH88DA,坡道平面,0,38.77,地下二樓
RPXOMLLMQHHGFGH86DA,坡道平面,0,33.69,地下三樓
RPVNMLQLQHHGFHH07DA,坡道平面,1750000,38.78,地下三樓
RPRNMLPJRHHGFCH68EA,坡道平面,0,,地下一樓
RPQOMLPJRHHGFCH58DA,坡道平面,1400000,26.60,地下二樓
RPXUMLMJRHHGFBH86DA,坡道平面,0,,地下一樓
RPWSMLPLQHHGFBH96DA,坡道平面,0,32.99,地下二樓
RPTOMLPJRHHGFDH98DA,坡道平面,0,31.74,地下二樓
RPQOMLQKQHHGFDH78DA,坡道平面,0,,地下二樓
RPXNMLLMQHHGFAH78DA,坡道平面,0,,地下二樓
RPTOMLMJRHHGFAH38DA,坡道平面,0,,地下二樓
RPVNMLPJRHHGFAH78DA,坡道平面,0,,地下二樓
RPVNMLPJRHHGFAH78DA,坡道平面,0,,地下二樓
RPQNMLQJRHHGFDH68DA,一樓平面,0,,一樓
RPOOMLLJRHHGFDH08DA,坡道平面,0,,地下三樓
RPTNMLNLQHHGFEH88DA,坡道平面,0,,地下二樓
RPQNMLTKQHHGFEH09DA,坡道平面,0,,地下二樓
RPTNMLPJRHHGFEH98DA,坡道平面,0,,地下二樓
RPPPMLPJRHHGFBH48DA,坡道平面,2100000,28.28,地下一樓
RPQPMLPJRHHGFBH58DA,坡道平面,1900000,28.28,地下三樓
RPSOMLPJRHHGFCH78DA,坡道平面,1500000,26.60,地下一樓
RPPQMLPJRHHGFAH58EA,一樓平面,0,,一樓
RPPQMLPJRHHGFAH58EA,一樓平面,0,,一樓
RPRNNLPKQHHGFHH56DA,坡道平面,0,29.40,地下二樓
RPOOMLKMQHHGFHH58DA,坡道平面,1740000,31.92,地下一樓
RPQOMLPJRHHGFHH09DA,坡道機械,0,16.92,地下三樓
RPRQMLPJRHHGFAH78EA,坡道平面,0,,地下一樓
RPWNMLLKQHHGFHH56DA,坡道平面,0,2.36,地下一樓
RPVNMLLKQHHGFFH88DA,坡道平面,0,22.14,地下一樓
RPQOMLLKPHHGFBH97DA,坡道機械,0,,地下三樓
RPOPMLMKPHHGFAH97EA,坡道平面,0,29.96,地下二樓
RPXPMLOKPHHGFAH09EA,坡道平面,0,,地下二樓
RPUPMLOKPHHGFAH78EA,坡道平面,0,35.26,地下二樓
RPUPMLOKPHHGFAH78EA,坡道平面,0,31.49,地下二樓
RPSNMLRJPHHGFGH09DA,坡道平面,0,38.94,地下三樓
RPTOMLPKPHHGFEH09EA,坡道平面,0,,地下三樓
RPQOMLOKPHHGFBH28DA,坡道機械,1200000,17.00,地下三樓
RPQOMLOKPHHGFBH28DA,坡道機械,1200000,17.00,地下三樓
RPVNMLSKPHHGFGH96DA,坡道平面,0,41.17,地下三樓
RPPOMLTKPHHGFFH56EA,坡道平面,0,20.37,地下一樓
RPTUMLPKPHHGFHH27DA,坡道平面,0,,地下二樓
RPPQMLKLPHHGFAH08EA,坡道平面,0,26.57,地下一樓
RPPQMLKLPHHGFAH08EA,坡道平面,0,26.57,地下一樓
RPXNMLTKPHHGFCH86DA,坡道平面,0,,一樓
RPOOMLNKPHHGFAH87DA,坡道平面,1400000,23.56,地下四樓
RPPPMLTKPHHGFBH78DA,坡道平面,1500000,31.68,地下二樓
RPORMLNKPHHGFBH28DA,坡道平面,0,27.70,地下二樓
RPPNMLPJPHHGFBH08DA,坡道平面,0,,地下二樓
RPTPMLLKPHHGFBH38DA,坡道平面,2000000,34.10,地下一樓
RPVOMLKLPHHGFAH38DA,坡道平面,0,,地下一樓
RPSOMLRJPHHGFCH78DA,坡道平面,0,,地下一樓
RPSPMLPKPHHGFBH78EA,一樓平面,0,,一樓
RPPOMLKLPHHGFEH18DA,坡道平面,0,,地下三樓
RPXPMLLKPHHGFAH68DA,坡道平面,0,,地下三樓
RPQRMLTKPHHGFAH98DA,坡道平面,0,31.98,地下二樓
RPSOMLKLPHHGFAH08DA,坡道平面,0,,地下二樓
RPUPMLLLPHHGFBH58DA,坡道平面,1500000,15.52,地下一樓
RPRNMLSJPHHGFBH58DA,一樓平面,0,,一樓
RPTOMLLLPHHGFBH38DA,坡道平面,0,,地下一樓
RPTQMLQLPHHGFBH09DA,坡道平面,2100000,28.28,地下一樓
RPVNMLLLPHHGFAH38DA,坡道平面,0,,地下一樓
RPVNMLLLPHHGFAH38DA,坡道平面,0,,地下一樓
RPTNMLOKPHHGFDH68DA,坡道平面,0,,地下一樓
RPQNMLKLPHHGFGH38DA,坡道平面,0,,地下一樓
RPRNMLMLPHHGFHH88EA,坡道平面,0,33.75,地下三樓
RPTNMLMLPHHGFFH78DA,坡道平面,0,40.56,地下三樓
RPPPMLKLPHHGFHH58DA,坡道平面,0,30.24,地下二樓
RPPTMLPLPHHGFBH98EA,坡道平面,0,,地下一樓
RPSNMLPKPHHGFEH78DA,升降機械,0,,地下二樓
RPOOMLOJPHHGFAH87DA,坡道平面,0,,地下二樓
RPSRMLTKPHHGFAH56DA,坡道平面,1500000,35.76,地下一樓
RPQOMLQLPHHGFBH58DA,坡道平面,0,,地下二樓
RPPNMLLLPHHGFBH87DA,坡道平面,0,,地下二樓
RPVSMLPKPHHGFBH66DA,坡道平面,0,,地下二樓
RPRSMLPLPHHGFBH98DA,坡道平面,0,26.98,地下二樓
RPRSMLQLPHHGFBH09DA,一樓平面,1100000,15.00,一樓
RPTOMLKLPHHGFAH18DA,坡道平面,0,20.50,地下一樓
RPTOMLKLPHHGFAH18DA,坡道平面,0,20.50,地下一樓
RPVNMLPLPHHGFAH78DA,坡道機械,0,,地下一樓
RPWNMLTKPHHGFAH56DA,坡道平面,0,,地下一樓
RPROMLLLPHHGFEH48DA,坡道平面,2100000,40.15,地下三樓
RPORMLQLPHHGFBH78EA,坡道平面,1500000,13.35,地下二樓
RPSOMLMLPHHGFHH98DA,坡道平面,0,,地下二樓
RPXOMLRLPHHGFHH47EA,坡道機械,0,,地下三樓
RPOOMLRLPHHGFGH09EA,坡道平面,0,,地下一樓
RPPSMLNKPHHGFHH09DA,坡道平面,0,24.83,地下二樓
RPRPMLQLPHHGFHH76DA,坡道平面,1700000,23.76,地下三樓
RPUPMLRLPHHGFAH56EA,坡道平面,0,28.85,地下二樓
RPUPMLRLPHHGFAH56EA,坡道平面,0,28.85,地下二樓
RPOOMLRLPHHGFCH68EA,一樓平面,0,,一樓
RPUPMLRLPHHGFAH56EA,坡道平面,0,28.85,地下二樓
RPWPMLOKPHHGFBH98DA,坡道平面,1050000,25.78,地下一樓
RPRNMLKLPHHGFBH97DA,坡道平面,1800000,33.53,地下三樓
RPRNMLKLPHHGFBH97DA,坡道平面,1800000,33.53,地下三樓
RPRNMLKLPHHGFBH97DA,坡道平面,1800000,33.53,地下三樓
